cell_ontology_class,platform,tissue,leiden_r1_0,n_cells
DN1 thymic pro-T cell,FACS,Kidney,0,0
DN1 thymic pro-T cell,FACS,Kidney,3,0
DN1 thymic pro-T cell,FACS,Kidney,4,0
DN1 thymic pro-T cell,FACS,Kidney,8,0
DN1 thymic pro-T cell,FACS,Kidney,9,0
DN1 thymic pro-T cell,FACS,Kidney,12,0
DN1 thymic pro-T cell,FACS,Kidney,13,0
DN1 thymic pro-T cell,FACS,Kidney,15,0
DN1 thymic pro-T cell,FACS,Kidney,18,0
DN1 thymic pro-T cell,FACS,Kidney,19,0
DN1 thymic pro-T cell,FACS,Kidney,20,0
DN1 thymic pro-T cell,FACS,Kidney,21,0
DN1 thymic pro-T cell,FACS,Kidney,25,0
DN1 thymic pro-T cell,FACS,Kidney,28,0
DN1 thymic pro-T cell,FACS,Kidney,32,0
DN1 thymic pro-T cell,FACS,Kidney,33,0
DN1 thymic pro-T cell,FACS,Kidney,36,0
DN1 thymic pro-T cell,FACS,Kidney,38,0
DN1 thymic pro-T cell,FACS,Kidney,39,0
DN1 thymic pro-T cell,FACS,Kidney,42,0
DN1 thymic pro-T cell,FACS,Kidney,44,0
DN1 thymic pro-T cell,FACS,Kidney,49,0
DN1 thymic pro-T cell,FACS,Kidney,50,0
DN1 thymic pro-T cell,FACS,Kidney,53,0
DN1 thymic pro-T cell,FACS,Kidney,56,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,0,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,3,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,4,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,8,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,9,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,12,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,13,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,15,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,18,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,19,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,20,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,21,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,25,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,28,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,32,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,33,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,36,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,38,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,39,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,42,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,44,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,49,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,50,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,53,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,56,0
DN1 thymic pro-T cell,FACS,Lung,0,0
DN1 thymic pro-T cell,FACS,Lung,3,0
DN1 thymic pro-T cell,FACS,Lung,4,0
DN1 thymic pro-T cell,FACS,Lung,8,0
DN1 thymic pro-T cell,FACS,Lung,9,0
DN1 thymic pro-T cell,FACS,Lung,12,0
DN1 thymic pro-T cell,FACS,Lung,13,0
DN1 thymic pro-T cell,FACS,Lung,15,0
DN1 thymic pro-T cell,FACS,Lung,18,0
DN1 thymic pro-T cell,FACS,Lung,19,0
DN1 thymic pro-T cell,FACS,Lung,20,0
DN1 thymic pro-T cell,FACS,Lung,21,0
DN1 thymic pro-T cell,FACS,Lung,25,0
DN1 thymic pro-T cell,FACS,Lung,28,0
DN1 thymic pro-T cell,FACS,Lung,32,0
DN1 thymic pro-T cell,FACS,Lung,33,0
DN1 thymic pro-T cell,FACS,Lung,36,0
DN1 thymic pro-T cell,FACS,Lung,38,0
DN1 thymic pro-T cell,FACS,Lung,39,0
DN1 thymic pro-T cell,FACS,Lung,42,0
DN1 thymic pro-T cell,FACS,Lung,44,0
DN1 thymic pro-T cell,FACS,Lung,49,0
DN1 thymic pro-T cell,FACS,Lung,50,0
DN1 thymic pro-T cell,FACS,Lung,53,0
DN1 thymic pro-T cell,FACS,Lung,56,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,0,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,3,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,4,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,8,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,9,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,12,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,13,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,15,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,18,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,19,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,20,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,21,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,25,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,28,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,32,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,33,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,36,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,38,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,39,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,42,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,44,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,49,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,50,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,53,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,56,0
DN1 thymic pro-T cell,FACS,Marrow,0,0
DN1 thymic pro-T cell,FACS,Marrow,3,0
DN1 thymic pro-T cell,FACS,Marrow,4,0
DN1 thymic pro-T cell,FACS,Marrow,8,0
DN1 thymic pro-T cell,FACS,Marrow,9,0
DN1 thymic pro-T cell,FACS,Marrow,12,0
DN1 thymic pro-T cell,FACS,Marrow,13,0
DN1 thymic pro-T cell,FACS,Marrow,15,0
DN1 thymic pro-T cell,FACS,Marrow,18,0
DN1 thymic pro-T cell,FACS,Marrow,19,0
DN1 thymic pro-T cell,FACS,Marrow,20,0
DN1 thymic pro-T cell,FACS,Marrow,21,0
DN1 thymic pro-T cell,FACS,Marrow,25,0
DN1 thymic pro-T cell,FACS,Marrow,28,0
DN1 thymic pro-T cell,FACS,Marrow,32,0
DN1 thymic pro-T cell,FACS,Marrow,33,0
DN1 thymic pro-T cell,FACS,Marrow,36,0
DN1 thymic pro-T cell,FACS,Marrow,38,0
DN1 thymic pro-T cell,FACS,Marrow,39,0
DN1 thymic pro-T cell,FACS,Marrow,42,0
DN1 thymic pro-T cell,FACS,Marrow,44,0
DN1 thymic pro-T cell,FACS,Marrow,49,0
DN1 thymic pro-T cell,FACS,Marrow,50,0
DN1 thymic pro-T cell,FACS,Marrow,53,0
DN1 thymic pro-T cell,FACS,Marrow,56,0
DN1 thymic pro-T cell,FACS,Spleen,0,0
DN1 thymic pro-T cell,FACS,Spleen,3,0
DN1 thymic pro-T cell,FACS,Spleen,4,0
DN1 thymic pro-T cell,FACS,Spleen,8,0
DN1 thymic pro-T cell,FACS,Spleen,9,0
DN1 thymic pro-T cell,FACS,Spleen,12,0
DN1 thymic pro-T cell,FACS,Spleen,13,0
DN1 thymic pro-T cell,FACS,Spleen,15,0
DN1 thymic pro-T cell,FACS,Spleen,18,0
