cell_ontology_class,platform,tissue,leiden_r1_0,n_cells
DN1 thymic pro-T cell,FACS,Kidney,0,0
DN1 thymic pro-T cell,FACS,Kidney,1,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,0,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,1,0
DN1 thymic pro-T cell,FACS,Lung,0,0
DN1 thymic pro-T cell,FACS,Lung,1,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,0,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,1,0
DN1 thymic pro-T cell,FACS,Marrow,0,0
DN1 thymic pro-T cell,FACS,Marrow,1,0
DN1 thymic pro-T cell,FACS,Spleen,0,0
DN1 thymic pro-T cell,FACS,Spleen,1,0
DN1 thymic pro-T cell,FACS,Thymus,0,0
DN1 thymic pro-T cell,FACS,Thymus,1,0
DN1 thymic pro-T cell,droplet,Kidney,0,0
DN1 thymic pro-T cell,droplet,Kidney,1,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,0,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,1,0
DN1 thymic pro-T cell,droplet,Lung,0,0
DN1 thymic pro-T cell,droplet,Lung,1,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,0,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,1,0
DN1 thymic pro-T cell,droplet,Marrow,0,0
DN1 thymic pro-T cell,droplet,Marrow,1,0
DN1 thymic pro-T cell,droplet,Spleen,0,0
DN1 thymic pro-T cell,droplet,Spleen,1,0
DN1 thymic pro-T cell,droplet,Thymus,0,44
DN1 thymic pro-T cell,droplet,Thymus,1,0
T cell,FACS,Kidney,0,0
T cell,FACS,Kidney,1,0
T cell,FACS,Limb_Muscle,0,35
T cell,FACS,Limb_Muscle,1,0
T cell,FACS,Lung,0,0
T cell,FACS,Lung,1,0
T cell,FACS,Mammary_Gland,0,0
T cell,FACS,Mammary_Gland,1,0
T cell,FACS,Marrow,0,0
T cell,FACS,Marrow,1,0
T cell,FACS,Spleen,0,0
T cell,FACS,Spleen,1,0
T cell,FACS,Thymus,0,0
T cell,FACS,Thymus,1,0
T cell,droplet,Kidney,0,0
T cell,droplet,Kidney,1,0
T cell,droplet,Limb_Muscle,0,320
T cell,droplet,Limb_Muscle,1,0
T cell,droplet,Lung,0,247
T cell,droplet,Lung,1,0
T cell,droplet,Mammary_Gland,0,1750
T cell,droplet,Mammary_Gland,1,0
T cell,droplet,Marrow,0,162
T cell,droplet,Marrow,1,0
T cell,droplet,Spleen,0,1930
T cell,droplet,Spleen,1,0
T cell,droplet,Thymus,0,0
T cell,droplet,Thymus,1,0
alveolar macrophage,FACS,Kidney,0,0
alveolar macrophage,FACS,Kidney,1,0
alveolar macrophage,FACS,Limb_Muscle,0,0
alveolar macrophage,FACS,Limb_Muscle,1,0
alveolar macrophage,FACS,Lung,0,0
alveolar macrophage,FACS,Lung,1,0
alveolar macrophage,FACS,Mammary_Gland,0,0
alveolar macrophage,FACS,Mammary_Gland,1,0
alveolar macrophage,FACS,Marrow,0,0
alveolar macrophage,FACS,Marrow,1,0
alveolar macrophage,FACS,Spleen,0,0
alveolar macrophage,FACS,Spleen,1,0
alveolar macrophage,FACS,Thymus,0,0
alveolar macrophage,FACS,Thymus,1,0
alveolar macrophage,droplet,Kidney,0,0
alveolar macrophage,droplet,Kidney,1,0
alveolar macrophage,droplet,Limb_Muscle,0,0
