cell_ontology_class,platform,tissue,leiden_r1_0,n_cells
DN1 thymic pro-T cell,FACS,Kidney,0,0
DN1 thymic pro-T cell,FACS,Kidney,4,0
DN1 thymic pro-T cell,FACS,Kidney,5,0
DN1 thymic pro-T cell,FACS,Kidney,6,0
DN1 thymic pro-T cell,FACS,Kidney,9,0
DN1 thymic pro-T cell,FACS,Kidney,10,0
DN1 thymic pro-T cell,FACS,Kidney,11,0
DN1 thymic pro-T cell,FACS,Kidney,14,0
DN1 thymic pro-T cell,FACS,Kidney,17,0
DN1 thymic pro-T cell,FACS,Kidney,18,0
DN1 thymic pro-T cell,FACS,Kidney,19,0
DN1 thymic pro-T cell,FACS,Kidney,20,0
DN1 thymic pro-T cell,FACS,Kidney,23,0
DN1 thymic pro-T cell,FACS,Kidney,24,0
DN1 thymic pro-T cell,FACS,Kidney,28,0
DN1 thymic pro-T cell,FACS,Kidney,31,0
DN1 thymic pro-T cell,FACS,Kidney,32,0
DN1 thymic pro-T cell,FACS,Kidney,34,0
DN1 thymic pro-T cell,FACS,Kidney,39,0
DN1 thymic pro-T cell,FACS,Kidney,43,0
DN1 thymic pro-T cell,FACS,Kidney,44,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,0,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,4,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,5,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,6,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,9,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,10,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,11,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,14,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,17,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,18,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,19,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,20,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,23,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,24,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,28,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,31,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,32,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,34,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,39,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,43,0
DN1 thymic pro-T cell,FACS,Limb_Muscle,44,0
DN1 thymic pro-T cell,FACS,Lung,0,0
DN1 thymic pro-T cell,FACS,Lung,4,0
DN1 thymic pro-T cell,FACS,Lung,5,0
DN1 thymic pro-T cell,FACS,Lung,6,0
DN1 thymic pro-T cell,FACS,Lung,9,0
DN1 thymic pro-T cell,FACS,Lung,10,0
DN1 thymic pro-T cell,FACS,Lung,11,0
DN1 thymic pro-T cell,FACS,Lung,14,0
DN1 thymic pro-T cell,FACS,Lung,17,0
DN1 thymic pro-T cell,FACS,Lung,18,0
DN1 thymic pro-T cell,FACS,Lung,19,0
DN1 thymic pro-T cell,FACS,Lung,20,0
DN1 thymic pro-T cell,FACS,Lung,23,0
