pipeline,resolution,ari,nmi,rare_recovery_lt0_5pct,rare_recovery_lt1_0pct,rare_recovery_lt2_0pct
baseline,0.2,0.7219436814956072,0.8479533799370809,0.0,0.0,0.0
baseline,0.5,0.7467933868511692,0.8574925397750024,0.0,0.0,0.001941747572815534
baseline,1.0,0.655845033832727,0.8398109835856584,0.0,0.0,0.003883495145631068
baseline,1.5,0.6025288835022933,0.8225431338096678,0.0,0.001984126984126984,0.003883495145631068
harmony,0.2,0.7187676327155585,0.8425661271126774,0.0,0.0,0.0
harmony,0.5,0.7254265729419169,0.85027325803068,0.0,0.0,0.001941747572815534
harmony,1.0,0.70777809884088,0.8520895004643243,0.0,0.0,0.003883495145631068
harmony,1.5,0.6185520038896125,0.8231944653513096,0.0,0.001984126984126984,0.005825242718446602
bbknn,0.2,0.06516652280463603,0.22541919535988236,0.0,0.0,0.0
bbknn,0.5,0.06516652280463603,0.22541919535988236,0.0,0.0,0.0
bbknn,1.0,0.06516652280463603,0.22541919535988236,0.0,0.0,0.0
bbknn,1.5,0.08655782975715338,0.33603469969346894,0.00398406374501992,0.007936507936507936,0.02912621359223301
